Antiguedad_Meses,Gasto_Mensual,Gasto_Total,Soporte_Tecnico_Tickets,Contrato_Anual,Churn,Tickets_Por_Mes,Ticket_Promedio
52,40.35782803422427,2076.67484272813,6,1,1,0.11320754716981132,39.182544202417546
15,104.04524062769335,1567.9367004996072,3,1,1,0.1875,97.99604378122545
61,37.41933365782536,2231.438442722459,5,0,1,0.08064516129032258,35.99094262455579
21,116.0780551486977,2424.9629248105007,1,0,1,0.045454545454545456,110.22558749138639
24,61.59073661469408,1515.5183201436107,6,1,1,0.24,60.62073280574443
3,104.62452920190493,256.38857221573846,1,0,1,0.25,64.09714305393462
22,82.8764818205945,1857.0686026687533,9,0,1,0.391304347826087,80.74211315951102
53,93.53502986657526,4949.145700041518,7,0,1,0.12962962962962962,91.65084629706514
2,96.77238880667802,208.1597108199618,7,0,1,2.3333333333333335,69.3865702733206
30,70.48448818930177,2134.260378083606,0,0,1,0.0,68.84710897043891
38,74.33005233632883,2837.784633765223,7,1,1,0.1794871794871795,72.76370855808264
2,71.3995867808725,116.8506540128202,1,1,0,0.3333333333333333,38.9502180042734
64,78.80583780900793,5032.637145380457,5,1,0,0.07692307692307693,77.42518685200703
60,22.93944457565073,1332.5199892215194,0,0,1,0.0,21.844589987238024
21,59.551516984901525,1265.3357466305745,4,0,1,0.18181818181818182,57.51526121048066
33,80.61887135611715,2711.484409372344,6,0,1,0.17647058823529413,79.74954145212777
58,79.77235652558643,4572.063451883719,9,1,1,0.15254237288135594,77.49260087938507
22,99.29560946056316,2161.6540309482484,0,0,1,0.0,93.98495786731515
49,85.50093388321085,4184.0925020008435,1,1,0,0.02,83.68185004001687
59,119.21333163406723,7038.786809121373,6,1,0,0.1,117.31311348535623
42,48.385452860864504,2058.564309199342,5,0,1,0.11627906976744186,47.87358858603121
60,55.915102966623145,3350.3401785866586,2,0,1,0.03278688524590164,54.92360948502719
15,58.38471518677963,866.291966008325,9,1,1,0.5625,54.14324787552031
62,66.58128070202486,4161.133324707634,1,1,0,0.015873015873015872,66.04973531281958
62,103.59980637812095,6443.047862455398,9,0,1,0.14285714285714285,102.27060099135552
47,43.579209395920984,2064.3921808793193,3,0,1,0.0625,43.00817043498582
62,97.60002070354295,6054.576754967306,2,1,0,0.031746031746031744,96.104392935989
51,60.53101830857434,3116.576500064887,6,0,1,0.11538461538461539,59.93416346278629
55,80.18553836620086,4390.515328404139,7,0,1,0.125,78.40205943578819
64,83.25405332263061,5304.478584182777,1,0,0,0.015384615384615385,81.60736283358119
3,57.28486371889345,194.23762076276006,9,0,1,2.25,48.559405190690015
51,71.26152052058052,3585.5864674721993,6,0,1,0.11538461538461539,68.95358591292691
7,61.3031174647697,431.88720754248254,7,0,1,0.875,53.98590094281032
21,26.913278618661945,555.6821004240255,5,0,1,0.22727272727272727,25.25827729200116
39,63.71653888168265,2442.7723744660348,5,0,1,0.125,61.069309361650866
18,29.73933925535522,507.370079204906,9,1,1,0.47368421052631576,26.70368837920558
4,60.50207990803215,238.73903686326813,0,1,0,0.0,47.747807372653625
60,79.29183998317819,4788.529296685661,3,1,1,0.04918032786885246,78.50048027353543
14,77.94148993435007,1071.5921193431666,0,1,1,0.0,71.43947462287777
9,86.26212790083204,812.7605931046382,3,0,0,0.3,81.27605931046382
53,29.526150795462627,1566.7813689862146,1,0,0,0.018518518518518517,29.014469796041013
2,85.21232455304379,209.7361901711867,4,1,1,1.3333333333333333,69.91206339039557
60,51.214805669644704,3054.753591915281,9,0,1,0.14754098360655737,50.077927736316084
71,59.90459461371111,4251.761929930328,8,0,1,0.1111111111111111,59.05224902681011
44,105.79862539227058,4666.194025360016,9,1,1,0.2,103.6932005635559
8,20.903040412955026,161.83900942139485,2,0,1,0.2222222222222222,17.98211215793276
47,78.84126333406054,3734.1301011152027,7,0,1,0.14583333333333334,77.79437710656673
35,79.87139801001075,2729.2720185916683,2,1,1,0.05555555555555555,75.81311162754633
36,59.665977634356196,2220.6473610005214,5,1,0,0.13513513513513514,60.017496243257334
50,43.702785710833616,2210.8725237515355,3,0,1,0.058823529411764705,43.35044164218697
4,43.467403826155106,168.66366043356993,7,1,1,1.4,33.73273208671399
2,108.37096696607526,200.17228372483018,5,1,1,1.6666666666666667,66.7240945749434
6,64.20243737828575,359.22200592625785,7,1,1,1.0,51.31742941803684
54,53.08893629891719,2886.1710243666203,0,0,0,0.0,52.475836806665825
4,64.8777573831403,289.36047959633186,5,0,1,1.0,57.87209591926637
54,86.93904014593613,4689.832384036655,0,1,0,0.0,85.26967970975736
63,34.57565682447517,2211.4760923312906,0,1,0,0.0,34.554313942676416
18,64.94338352137376,1141.7631019818941,7,1,0,0.3684210526315789,60.09279484115232
44,78.78843711103869,3434.1769073860974,6,0,1,0.13333333333333333,76.31504238635772
34,114.85833548514337,3959.5836426522415,2,0,0,0.05714285714285714,113.13096121863548
62,45.25277820754192,2823.4055072737556,5,1,0,0.07936507936507936,44.815960432916754
14,55.92507479162455,824.8564931371436,8,0,1,0.5333333333333333,54.990432875809574
48,57.93585899224238,2755.3030403760035,6,0,1,0.12244897959183673,56.23067429338783
15,80.55381576448829,1180.6014747142624,2,0,0,0.125,73.7875921696414
62,55.67320530400016,3440.980449264284,5,0,1,0.07936507936507936,54.61873728990927
40,73.35119252996955,2909.325935952612,3,1,0,0.07317073170731707,70.9591691695759
53,98.17903298450294,5224.649704485509,2,1,0,0.037037037037037035,96.7527723052872
24,90.53855941122036,2150.391644161495,8,0,1,0.32,86.0156657664598
26,64.63686465125855,1645.4083851907035,9,0,1,0.3333333333333333,60.94105130335939
60,106.42161776741689,6389.557528412671,1,1,0,0.01639344262295082,104.74684472807657
41,75.81402495938629,3069.6754380600814,0,0,0,0.0,73.08751043000194
29,73.99058395022125,2091.743016612155,1,0,1,0.03333333333333333,69.72476722040516
15,23.41877659391582,355.2793659245756,6,1,1,0.375,22.204960370285974
45,118.66929803571615,5287.641810316921,9,0,1,0.1956521739130435,114.94873500688958
65,32.29708085296267,2122.568637331436,0,1,0,0.0,32.16013086865812
71,43.11309124276466,3019.1694664487068,5,0,0,0.06944444444444445,41.93290925623204
9,25.169683724152698,159.30693992478183,6,0,1,0.6,15.930693992478183
1,84.00029668369137,75.18639717946755,8,0,1,4.0,37.593198589733774
8,42.470117697267995,344.0987766770385,7,1,1,0.7777777777777778,38.23319740855983
63,38.00104374727235,2408.8100079886162,5,0,1,0.078125,37.63765637482213
11,28.855558422324137,322.57161361604113,2,0,1,0.16666666666666666,26.880967801336762
8,30.330895712401567,210.86778706568026,7,1,1,0.7777777777777778,23.42975411840892
35,78.46707004425888,2767.7392869768587,6,0,1,0.16666666666666666,76.8816468604683
35,88.82078658665954,3137.531685727476,2,0,0,0.05555555555555555,87.15365793687434
33,59.7378988464401,1935.1777980788574,8,0,1,0.23529411764705882,56.916994061142866
5,67.98970815920732,334.5183566362482,1,1,0,0.16666666666666666,55.7530594393747
41,88.59677359829841,3624.234516716964,2,0,0,0.047619047619047616,86.29129801707057
28,21.737979018547964,615.2748600029839,1,0,0,0.034482758620689655,21.216374482861514
7,52.31306570702785,360.04374619597166,0,0,0,0.0,45.00546827449646
12,117.30977480703464,1405.6809645222265,3,0,0,0.23076923076923078,108.12930496324819
34,78.01122296954681,2671.636046871842,4,1,0,0.11428571428571428,76.33245848205263
33,45.422457989749326,1465.5255206736938,5,1,1,0.14705882352941177,43.10369178452041
48,72.17300466362131,3486.4254179116474,4,1,1,0.08163265306122448,71.15153914105403
23,54.26534881209153,1282.3370046240427,0,1,0,0.0,53.43070852600178
62,73.22449888262992,4588.9429805277205,2,1,0,0.031746031746031744,72.84036477028128
37,32.574151180664884,1140.9425739604799,0,0,0,0.0,30.024804577907364
44,33.27146538192774,1458.457427091364,4,1,1,0.08888888888888889,32.41016504647476
35,34.35423620393929,1143.4452499072675,4,0,1,0.1111111111111111,31.762368052979653
65,113.98197919268418,7335.776736831287,5,0,0,0.07575757575757576,111.14813237623162
47,93.28989183413418,4388.947707632531,7,1,1,0.14583333333333334,91.43641057567773
3,36.238189466232086,96.74001461318541,9,0,1,2.25,24.185003653296352
1,38.83490837656014,47.830436929682534,0,1,0,0.0,23.915218464841267
5,93.08294748708764,479.99856813805764,3,0,1,0.5,79.99976135634294
14,35.616384479217395,536.0662614522811,9,1,1,0.6,35.73775076348541
27,43.45612933348286,1174.9331047632108,0,0,1,0.0,41.9618965986861
9,116.3346832820399,1134.7128180579318,8,1,1,0.8,113.47128180579318
15,45.53065247284319,692.1520827422042,6,1,1,0.375,43.259505171387765
42,86.16323503711467,3674.130242895833,6,0,1,0.13953488372093023,85.44488936967053
51,117.86312874005304,5941.034431726977,4,0,1,0.07692307692307693,114.25066214859572
63,57.42967671397926,3658.561818867212,6,0,1,0.09375,57.16502841980019
52,21.751599086206223,1125.6603377888569,1,0,1,0.018867924528301886,21.23887429790296
4,44.414729042237425,119.20849838613157,3,1,1,0.6,23.841699677226313
23,103.08771913417054,2383.6338933627662,6,1,0,0.25,99.31807889011526
15,106.46088359550367,1587.8245877930256,2,0,0,0.125,99.2390367370641
